"strokeNumber","time","x","y"
"0","4505","7","8.04"
"0","4506","7","8.04"
"0","4517","7","8.04"
"0","4533","7","8.04"
"0","4547","7","8.04"
"0","4563","7","8.04"
"0","4577","7","8.04"
"0","4593","7","8.04"
"0","4625","9","8.04"
"0","4629","12","9.04"
"0","4645","15","9.04"
"0","4659","19","10.04"
"0","4675","23","10.04"
"0","4689","26","10.04"
"0","4698","28","10.04"
"0","4705","29","10.04"
"0","4721","30","10.04"
"0","4735","31","10.04"
"0","4749","31","10.04"
"0","4765","31","11.04"
"0","4773","30","11.04"
"1","5030","18","13.04"
"1","5031","18","13.04"
"1","5035","17","23.04"
"1","5049","17","25.04"
"1","5065","17","27.04"
"1","5080","16","28.04"
"1","5096","16","29.04"
"1","5109","16","29.04"
"2","5380","44","11.04"
"2","5381","44","11.04"
"2","5395","44","11.04"
"2","5409","44","11.04"
"2","5425","44","11.04"
"2","5439","44","11.04"
"2","5455","44","13.04"
"2","5471","44","16.04"
"2","5485","44","19.04"
"2","5499","42","23.04"
"2","5515","41","26.04"
"2","5529","40","28.04"
"2","5548","40","28.04"
"2","5567","40","28.04"
"2","5581","40","28.04"
"2","5597","40","27.04"
"2","5613","42","26.04"
"2","5627","44","24.04"
"2","5641","45","24.04"
"2","5657","46","24.04"
"2","5673","47","24.04"
"2","5687","48","25.04"
"2","5701","49","26.04"
"2","5717","50","28.04"
"2","5733","50","29.04"
"2","5755","50","32.04"
"2","5771","50","32.04"
"2","5785","50","32.04"
"2","5799","50","32.04"
"2","5815","50","32.04"
"2","5830","50","32.04"
"3","6364","63","25.04"
"3","6377","63","25.04"
"3","6393","63","25.04"
"3","6407","63","25.04"
"3","6421","63","25.04"
"3","6437","63","25.04"
"3","6459","66","26.04"
"3","6492","71","26.04"
"3","6505","76","26.04"
"3","6521","79","25.04"
"3","6535","80","24.04"
"3","6549","81","23.04"
"3","6565","81","22.04"
"3","6579","81","21.04"
"3","6595","80","20.04"
"3","6609","78","20.04"
"3","6625","76","20.04"
"3","6639","74","20.04"
"3","6655","72","20.04"
"3","6671","70","20.04"
"3","6690","69","20.04"
"3","6707","67","20.04"
"3","6721","66","21.04"
"3","6737","64","21.04"
"3","6753","63","22.04"
"3","6767","62","22.04"
"3","6781","61","23.04"
"3","6797","61","23.04"
"3","6811","61","24.04"
"3","6827","61","25.04"
"3","6859","61","27.04"
"3","6865","61","28.04"
"3","6879","61","29.04"
"3","6895","63","29.04"
"3","6909","64","30.04"
"3","6925","67","30.04"
"3","6939","69","30.04"
"3","6955","71","31.04"
"3","6971","73","31.04"
"3","6985","75","31.04"
"3","6999","77","31.04"
"3","7016","80","30.04"
"4","7530","100","8.04"
"4","7547","100","8.04"
"4","7548","101","28.04"
"4","7561","101","28.04"
"4","7576","101","28.04"
"4","7599","101","27.04"
"4","7615","101","25.04"
"4","7629","102","23.04"
"4","7645","104","22.04"
"4","7659","104","22.04"
"4","7675","105","22.04"
"4","7689","106","22.04"
"4","7705","107","23.04"
"4","7721","109","24.04"
"4","7735","110","26.04"
"4","7749","110","28.04"
"4","7765","110","29.04"
"4","7787","109","29.04"
"4","7796","108","29.04"
"5","8046","123","21.04"
"5","8061","123","20.04"
"5","8065","121","21.04"
"5","8079","119","23.04"
"5","8095","118","26.04"
"5","8109","118","29.04"
"5","8125","118","30.04"
"5","8139","120","30.04"
"5","8147","122","30.04"
"5","8155","125","29.04"
"5","8171","129","27.04"
"5","8191","131","23.04"
"5","8207","131","22.04"
"5","8222","131","22.04"
"5","8230","130","22.04"
"6","8373","123","21.04"
"7","8391","123","21.04"
"7","8395","136","16.04"
"7","8409","136","16.04"
"7","8425","136","17.04"
"7","8439","135","19.04"
"7","8455","134","21.04"
"7","8471","134","24.04"
"7","8485","134","27.04"
"7","8499","134","27.04"
"7","8515","136","27.04"
"7","8537","143","22.04"
"7","8577","146","20.04"
