"strokeNumber","time","x","y"
"0","2661","14","11.04"
"0","2676","12","11.04"
"0","2690","11","11.04"
"0","2706","11","11.04"
"0","2720","11","11.04"
"0","2737","14","11.04"
"0","2750","18","11.04"
"0","2766","21","11.04"
"0","2788","25","11.04"
"0","2802","27","11.04"
"0","2818","27","11.04"
"0","2832","27","12.04"
"0","2848","26","12.04"
"0","2862","24","12.04"
"0","2878","24","12.04"
"0","2892","24","12.04"
"0","2908","24","13.04"
"0","2922","24","15.04"
"0","2939","24","18.04"
"0","2947","24","19.04"
"0","2954","24","20.04"
"0","2969","24","23.04"
"0","2990","24","28.04"
"0","3006","23","30.04"
"0","3021","22","32.04"
"0","3036","20","32.04"
"0","3050","18","33.04"
"0","3066","16","33.04"
"0","3080","15","34.04"
"0","3096","15","34.04"
"0","3110","15","34.04"
"0","3126","15","34.04"
"0","3149","15","34.04"
"0","3163","17","34.04"
"0","3178","21","34.04"
"0","3192","26","34.04"
"0","3208","29","34.04"
"0","3223","33","34.04"
"1","5069","45","23.04"
"1","5077","45","22.04"
"1","5078","45","22.04"
"2","6938","50","21.04"
"2","6959","50","21.04"
"2","6972","49","21.04"
"2","6988","49","21.04"
"2","7002","49","21.04"
"2","7018","49","21.04"
"2","7033","49","21.04"
"2","7048","49","21.04"
"2","7062","49","21.04"
"2","7078","49","23.04"
"2","7100","50","27.04"
"2","7116","50","30.04"
"2","7130","50","32.04"
"2","7147","50","33.04"
"2","7160","50","33.04"
"2","7176","50","33.04"
"2","7191","49","32.04"
"2","7206","49","30.04"
"2","7220","52","28.04"
"2","7236","56","25.04"
"2","7251","59","23.04"
"2","7266","60","23.04"
"2","7288","63","25.04"
"2","7302","64","27.04"
"2","7319","64","29.04"
"2","7332","64","31.04"
"2","7348","64","32.04"
"2","7363","65","32.04"
"2","7371","66","32.04"
"3","7426","71","31.04"
"3","7438","73","31.04"
"3","7460","78","30.04"
"3","7476","81","29.04"
"3","7490","81","27.04"
"3","7506","81","25.04"
"3","7520","77","24.04"
"3","7536","73","23.04"
"3","7550","69","23.04"
"3","7566","68","25.04"
"3","7580","68","27.04"
"3","7596","68","30.04"
"3","7610","69","32.04"
"3","7627","71","33.04"
"3","7641","72","34.04"
"3","7657","73","35.04"
"4","7783","81","25.04"
"4","7784","81","25.04"
"4","7798","84","27.04"
"4","7820","87","30.04"
"4","7834","89","31.04"
"4","7850","90","31.04"
"4","7866","90","31.04"
"4","7880","90","31.04"
"4","7896","90","29.04"
"4","7911","90","28.04"
"4","7926","91","27.04"
"4","7940","92","27.04"
"4","7956","93","27.04"
"4","7970","96","28.04"
"4","7986","99","29.04"
"4","8000","101","29.04"
"4","8022","102","27.04"
"4","8038","102","26.04"
"4","8052","102","24.04"
"4","8068","102","24.04"
"4","8082","102","24.04"
"4","8098","101","26.04"
"4","8112","101","29.04"
"4","8128","101","30.04"
"4","8142","101","30.04"
