"strokeNumber","time","x","y"
"0","3806","4","8.04"
"0","3821","4","8.04"
"0","3837","4","8.04"
"0","3858","9","8.04"
"0","3888","17","8.04"
"0","3918","24","8.04"
"0","3934","26","8.04"
"0","3948","26","7.0399999999999991"
"0","3964","26","7.0399999999999991"
"0","3980","24","7.0399999999999991"
"1","4018","18","8.04"
"1","4039","18","8.04"
"1","4059","18","9.04"
"1","4076","18","11.04"
"1","4091","18","13.04"
"1","4107","19","15.04"
"1","4121","20","18.04"
"1","4137","20","21.04"
"1","4150","21","25.04"
"1","4168","21","27.04"
"1","4180","21","28.04"
"1","4198","21","28.04"
"1","4211","19","28.04"
"1","4227","16","28.04"
"1","4249","13","28.04"
"1","4264","13","28.04"
"1","4278","13","28.04"
"1","4295","13","28.04"
"1","4309","13","28.04"
"1","4325","16","29.04"
"1","4339","19","30.04"
"1","4355","23","30.04"
"1","4369","27","30.04"
"1","4385","30","30.04"
"1","4402","32","29.04"
"1","4415","33","28.04"
"1","4421","34","27.04"
"2","4619","55","19.04"
"2","4638","55","19.04"
"2","4668","52","18.04"
"2","4684","48","18.04"
"2","4698","44","18.04"
"2","4714","42","18.04"
"2","4728","41","19.04"
"2","4745","41","21.04"
"2","4759","41","22.04"
"2","4774","43","23.04"
"2","4788","45","24.04"
"2","4805","46","25.04"
"2","4827","46","28.04"
"2","4840","46","30.04"
"2","4857","45","31.04"
"2","4871","44","31.04"
"2","4887","41","31.04"
"2","4900","39","31.04"
"2","4918","37","31.04"
"2","4931","37","31.04"
"3","5117","64","20.04"
"3","5118","64","20.04"
"3","5135","87","20.04"
"3","5148","88","19.04"
"3","5165","88","18.04"
"4","5211","77","13.04"
"4","5232","77","13.04"
"4","5248","77","13.04"
"4","5260","77","14.04"
"4","5276","77","17.04"
"4","5291","77","21.04"
"4","5307","77","25.04"
"4","5321","77","28.04"
"4","5336","77","30.04"
"4","5345","77","30.04"
"5","5447","91","8.04"
"5","5464","91","8.04"
"5","5479","91","8.04"
"5","5494","92","11.04"
"5","5509","92","17.04"
"5","5523","93","23.04"
"5","5539","94","27.04"
"5","5555","94","28.04"
"5","5576","95","27.04"
"5","5590","97","24.04"
"5","5606","100","21.04"
"5","5620","102","21.04"
"5","5636","103","21.04"
"5","5650","103","22.04"
"5","5666","103","24.04"
"5","5680","104","27.04"
"5","5697","104","28.04"
"5","5710","103","29.04"
"5","5728","101","29.04"
