"strokeNumber","time","x","y"
"0","3139","28","15.04"
"0","3141","28","15.04"
"0","3153","4","17.04"
"0","3176","0","18.04"
"0","3251","0","24.04"
"0","3265","3","26.04"
"0","3281","7","28.04"
"0","3296","10","29.04"
"0","3312","12","30.04"
"0","3326","13","31.04"
"0","3342","14","32.04"
"0","3364","14","33.04"
"0","3378","12","34.04"
"0","3394","11","34.04"
"0","3407","8","34.04"
"0","3423","7","35.04"
"0","3432","7","35.04"
"1","3748","42","26.04"
"1","3769","41","26.04"
"1","3783","36","25.04"
"1","3797","35","26.04"
"1","3813","32","27.04"
"1","3828","30","29.04"
"1","3843","30","32.04"
"1","3857","30","34.04"
"1","3873","33","36.04"
"1","3895","39","36.04"
"1","3911","44","34.04"
"1","3925","46","32.04"
"1","3941","46","32.04"
"1","3956","45","31.04"
"1","3969","43","31.04"
"1","3978","43","31.04"
"2","4086","42","26.04"
"3","4110","42","26.04"
"3","4113","53","25.04"
"3","4128","53","25.04"
"3","4143","53","25.04"
"3","4157","53","27.04"
"3","4173","53","30.04"
"3","4187","53","32.04"
"3","4203","53","32.04"
"3","4217","53","32.04"
"3","4233","54","32.04"
"3","4256","58","28.04"
"3","4285","61","24.04"
"3","4301","62","24.04"
"3","4315","62","25.04"
"3","4331","62","27.04"
"3","4345","62","29.04"
"3","4361","63","30.04"
"3","4376","64","31.04"
"3","4389","64","31.04"
"3","4406","64","31.04"
"3","4419","64","30.04"
"3","4435","64","30.04"
"3","4457","64","30.04"
"3","4473","65","30.04"
"3","4487","68","30.04"
"3","4496","69","30.04"
"3","4503","71","30.04"
"3","4518","74","30.04"
"3","4534","78","28.04"
"3","4547","81","26.04"
"3","4564","81","26.04"
"3","4577","81","25.04"
"3","4593","78","25.04"
"3","4607","75","25.04"
"3","4624","72","25.04"
"3","4645","70","26.04"
"3","4659","70","27.04"
"3","4675","70","29.04"
"3","4690","70","31.04"
"3","4706","72","31.04"
"3","4719","75","31.04"
"3","4736","78","31.04"
"3","4750","80","31.04"
"3","4766","82","30.04"
"3","4774","84","29.04"
"4","5034","102","20.04"
"4","5035","102","19.04"
"4","5051","104","19.04"
"4","5065","108","19.04"
"4","5079","111","19.04"
"4","5095","113","19.04"
"4","5109","114","20.04"
"4","5126","114","21.04"
"4","5142","114","23.04"
"4","5156","112","24.04"
"4","5169","108","25.04"
"4","5185","103","25.04"
"4","5218","99","24.04"
"4","5237","98","22.04"
"4","5253","98","22.04"
"4","5267","98","22.04"
"4","5283","98","22.04"
"4","5297","98","24.04"
"4","5314","99","27.04"
"4","5328","99","30.04"
"4","5344","99","31.04"
"4","5357","99","32.04"
"4","5374","99","32.04"
"5","5513","114","25.04"
"5","5530","114","25.04"
"5","5546","129","20.04"
"5","5560","129","19.04"
"5","5576","129","19.04"
"5","5597","126","18.04"
"5","5613","122","18.04"
"5","5627","119","18.04"
"5","5643","118","20.04"
"5","5657","117","22.04"
"5","5673","117","24.04"
"5","5688","117","26.04"
"5","5703","117","27.04"
"5","5717","118","28.04"
"5","5734","120","28.04"
"5","5740","121","29.04"
"6","5825","136","22.04"
"6","5829","136","21.04"
"6","5845","135","21.04"
"6","5862","134","21.04"
"6","5875","134","21.04"
"6","5890","133","23.04"
"6","5906","133","27.04"
"6","5919","134","29.04"
"6","5935","138","30.04"
"6","5967","145","27.04"
"6","5973","147","24.04"
"6","5988","147","21.04"
"6","6003","144","20.04"
"6","6018","142","20.04"
"7","6132","160","17.04"
"7","6139","160","17.04"
"7","6153","163","19.04"
"7","6185","164","21.04"
"7","6189","164","23.04"
"7","6205","162","24.04"
"7","6231","158","25.04"
"7","6235","156","26.04"
"7","6249","153","25.04"
"7","6265","151","23.04"
"7","6279","151","22.04"
"7","6295","151","21.04"
"7","6309","151","21.04"
"7","6326","151","22.04"
"7","6347","152","27.04"
"7","6364","154","31.04"
"7","6378","154","34.04"
"7","6393","155","35.04"
"7","6408","155","36.04"
"8","6544","171","9.04"
"8","6560","171","9.04"
"8","6565","171","14.04"
"8","6579","172","18.04"
"8","6595","172","22.04"
"8","6611","172","26.04"
"8","6625","172","28.04"
"8","6640","172","30.04"
"9","6703","184","19.04"
"9","6737","184","19.04"
"9","6739","184","19.04"
"9","6753","187","19.04"
"9","6767","191","19.04"
"9","6783","195","18.04"
"9","6798","197","17.04"
"9","6813","197","17.04"
"9","6828","197","16.04"
"9","6843","194","16.04"
"9","6857","190","16.04"
"9","6873","188","16.04"
"9","6895","186","18.04"
"9","6935","186","22.04"
"9","6939","186","24.04"
"9","6948","187","24.04"
"9","6955","188","24.04"
"9","6970","191","25.04"
"9","6985","194","25.04"
"9","7000","197","25.04"
"9","7016","200","25.04"
"9","7024","201","25.04"
"10","10049","234","23.04"
"10","10062","234","23.04"
"10","10075","236","22.04"
"10","10097","236","22.04"
"10","10113","236","21.04"
"10","10128","236","21.04"
"10","10143","234","20.04"
"10","10158","231","20.04"
"10","10173","228","20.04"
"10","10188","225","20.04"
"10","10204","222","21.04"
"10","10217","220","22.04"
"10","10233","220","23.04"
"10","10247","220","23.04"
"10","10263","220","24.04"
"10","10285","222","26.04"
"10","10299","225","27.04"
"10","10308","226","28.04"
"10","10316","228","28.04"
"10","10330","229","29.04"
"10","10346","230","30.04"
"10","10359","230","31.04"
"10","10375","230","32.04"
"10","10390","230","33.04"
"10","10406","230","33.04"
"10","10420","228","34.04"
"10","10436","226","34.04"
"10","10466","223","34.04"
"10","10467","223","34.04"
"11","10627","245","28.04"
"11","10639","245","28.04"
"11","10645","245","27.04"
"11","10685","243","27.04"
"11","10689","242","27.04"
"11","10705","241","27.04"
"11","10720","239","29.04"
"11","10735","238","32.04"
"11","10749","238","35.04"
"11","10765","238","36.04"
"11","10779","239","36.04"
"11","10788","240","36.04"
"11","10796","242","35.04"
"11","10817","248","32.04"
"11","10847","250","31.04"
"11","10863","250","31.04"
"11","10877","250","31.04"
"11","10893","251","32.04"
"11","10907","252","32.04"
"11","10923","253","32.04"
"11","10938","254","32.04"
"11","10955","256","32.04"
"12","11188","259","13.04"
"12","11219","259","13.04"
"12","11223","259","13.04"
"12","11237","259","13.04"
"12","11254","259","15.04"
"12","11268","259","17.04"
"12","11284","259","20.04"
"13","11357","262","22.04"
"13","11378","262","23.04"
"13","11395","262","25.04"
"13","11425","263","30.04"
"13","11439","264","32.04"
"13","11455","264","33.04"
"13","11469","264","34.04"
"13","11485","264","34.04"
"13","11500","264","34.04"
"14","11888","253","14.04"
"14","11905","252","14.04"
"14","11905","252","14.04"
"14","11919","253","14.04"
"14","11935","256","16.04"
"14","11969","261","20.04"
"14","11973","264","23.04"
"14","11987","266","24.04"
"14","12017","266","25.04"
"14","12019","267","26.04"
"14","12026","268","27.04"
"15","12109","281","13.04"
"15","12124","281","13.04"
"15","12138","279","14.04"
"15","12154","276","17.04"
"15","12175","270","25.04"
"15","12190","267","29.04"
"15","12205","266","32.04"
"15","12219","264","34.04"
"15","12235","263","35.04"
"15","12249","262","36.04"
"15","12258","261","37.04"
"16","16452","301","6.0399999999999991"
"16","16454","300","6.0399999999999991"
"16","16469","299","7.0399999999999991"
"16","16483","300","9.04"
"16","16499","301","10.04"
"16","16514","302","12.04"
"17","16621","311","8.04"
"17","16641","311","8.04"
"17","16657","311","8.04"
"17","16672","311","9.04"
"17","16687","313","11.04"
"17","16701","314","13.04"
"17","16718","315","15.04"
"17","16732","316","15.04"
"18","18153","332","14.04"
"18","18173","332","14.04"
"18","18187","331","14.04"
"18","18202","331","14.04"
"18","18217","331","16.04"
"18","18231","332","18.04"
"18","18247","333","21.04"
"18","18263","335","23.04"
"18","18283","337","25.04"
"18","18300","339","26.04"
"18","18313","339","27.04"
"18","18329","340","27.04"
"18","18343","341","26.04"
"18","18359","342","24.04"
"18","18373","343","21.04"
"18","18390","344","18.04"
"18","18403","346","17.04"
"18","18420","346","16.04"
"18","18441","346","16.04"
"18","18457","346","17.04"
"18","18471","347","20.04"
"18","18487","349","24.04"
"18","18501","352","26.04"
"18","18518","354","27.04"
"18","18531","355","27.04"
"18","18547","357","25.04"
"18","18563","357","23.04"
"18","18577","357","21.04"
"18","18591","358","21.04"
"18","18607","358","21.04"
"18","18629","359","21.04"
"18","18660","363","21.04"
"18","18673","365","21.04"
"18","18689","367","21.04"
"18","18704","367","20.04"
"18","18719","367","19.04"
"18","18733","367","19.04"
"18","18750","365","19.04"
"18","18763","363","19.04"
"18","18779","362","19.04"
"18","18802","361","21.04"
"18","18832","360","23.04"
"18","18847","360","24.04"
"18","18863","361","24.04"
"18","18879","363","24.04"
"18","18891","365","24.04"
"18","18907","367","24.04"
"18","18914","369","24.04"
"19","19485","390","17.04"
"19","19486","390","17.04"
"19","19499","390","17.04"
"19","19513","390","17.04"
"19","19529","390","17.04"
"19","19544","390","16.04"
"19","19559","388","16.04"
"19","19581","383","16.04"
"19","19597","380","16.04"
"19","19611","378","16.04"
"19","19627","377","16.04"
"19","19641","376","18.04"
"19","19657","376","20.04"
"19","19671","376","24.04"
"19","19679","376","25.04"
"19","19688","376","26.04"
"19","19702","379","27.04"
"19","19717","383","27.04"
"19","19731","387","26.04"
"19","19748","390","24.04"
"19","19767","392","22.04"
"19","19783","392","22.04"
"19","19799","392","22.04"
"19","19813","392","23.04"
"19","19829","394","24.04"
"19","19843","395","25.04"
"19","19859","395","25.04"
"19","19874","396","25.04"
"20","19967","408","12.04"
"20","19987","407","12.04"
"20","20001","407","12.04"
"20","20017","407","15.04"
"20","20031","407","19.04"
"20","20047","407","23.04"
"20","20061","407","25.04"
"20","20077","408","26.04"
"20","20091","408","26.04"
"20","20107","408","25.04"
"20","20129","409","21.04"
"20","20143","410","20.04"
"20","20159","411","20.04"
"20","20173","411","20.04"
"20","20189","412","20.04"
"20","20203","414","20.04"
"20","20219","417","20.04"
"20","20233","420","20.04"
"20","20249","422","20.04"
"20","20263","423","19.04"
"20","20279","424","18.04"
"20","20288","424","18.04"
"20","20302","424","18.04"
"20","20318","424","18.04"
"20","20331","422","18.04"
"20","20345","420","18.04"
"20","20363","418","19.04"
"20","20377","417","20.04"
"20","20391","417","22.04"
"20","20407","417","24.04"
"20","20421","418","25.04"
"20","20437","420","26.04"
"20","20452","422","26.04"
"20","20473","424","26.04"
"20","20482","425","25.04"
"21","20857","444","10.04"
"21","20878","443","10.04"
"21","20879","443","10.04"
"21","20880","445","10.04"
"21","20893","448","11.04"
"21","20909","453","12.04"
"21","20923","456","12.04"
"21","20939","458","13.04"
"21","20954","459","13.04"
"22","20993","459","7.0399999999999991"
"22","21014","457","7.0399999999999991"
"22","21029","456","7.0399999999999991"
"22","21052","456","10.04"
"22","21065","456","13.04"
"22","21082","455","17.04"
"22","21097","455","21.04"
"22","21111","454","25.04"
"22","21127","454","27.04"
"22","21141","455","28.04"
"22","21156","458","28.04"
"22","21171","461","25.04"
"22","21188","464","22.04"
"22","21202","465","20.04"
"22","21223","466","18.04"
"22","21247","466","18.04"
"22","21269","465","19.04"
"22","21283","464","22.04"
"22","21299","464","25.04"
"22","21313","466","26.04"
"22","21329","470","26.04"
"22","21343","473","25.04"
"22","21359","476","22.04"
"22","21373","477","20.04"
"22","21389","477","20.04"
"22","21403","477","20.04"
"22","21419","476","20.04"
"22","21434","476","20.04"
"23","21515","482","16.04"
"23","21516","481","16.04"
"23","21531","479","16.04"
"23","21545","478","17.04"
"23","21561","477","19.04"
"23","21577","477","21.04"
"23","21591","480","22.04"
"23","21613","486","20.04"
"23","21629","489","17.04"
"23","21643","489","15.04"
"23","21659","488","14.04"
"23","21674","485","14.04"
"24","21787","498","2.0399999999999991"
"24","21815","498","2.0399999999999991"
"24","21831","498","2.0399999999999991"
"24","21845","498","2.0399999999999991"
"24","21861","498","6.0399999999999991"
"24","21877","498","10.04"
"24","21891","499","15.04"
"24","21905","499","18.04"
"24","21921","499","21.04"
"24","21935","499","21.04"
"24","21952","499","21.04"
"24","21968","499","18.04"
"24","21989","500","13.04"
"24","22003","500","12.04"
"24","22020","500","12.04"
"24","22033","502","13.04"
"24","22049","504","16.04"
"24","22063","505","17.04"
"24","22079","505","19.04"
"24","22093","504","20.04"
"24","22109","501","22.04"
"24","22124","498","22.04"
"24","22132","497","22.04"
"25","22234","513","12.04"
"25","22263","513","11.04"
"25","22265","513","11.04"
"25","22281","512","12.04"
"25","22295","511","15.04"
"25","22311","510","19.04"
"25","22325","510","21.04"
"25","22341","511","21.04"
"25","22363","516","19.04"
"25","22379","519","18.04"
"25","22393","520","17.04"
"25","22409","520","18.04"
"25","22423","520","19.04"
"25","22439","520","21.04"
"25","22454","522","21.04"
"26","22522","532","13.04"
"26","22560","532","12.04"
"26","22565","532","12.04"
"26","22581","532","12.04"
"26","22595","532","12.04"
"26","22612","530","14.04"
"26","22630","529","16.04"
"26","22641","529","16.04"
"26","22655","529","17.04"
"26","22672","530","18.04"
"26","22685","532","18.04"
"26","22701","534","17.04"
"26","22718","535","16.04"
"26","22739","536","14.04"
"26","22753","536","14.04"
"26","22770","536","14.04"
"26","22784","536","16.04"
"26","22799","537","17.04"
"26","22813","538","17.04"
"26","22822","539","17.04"
"27","22874","547","11.04"
"27","22889","547","11.04"
"27","22903","547","11.04"
"27","22927","546","11.04"
"27","22941","545","11.04"
"27","22955","545","12.04"
"27","22971","545","14.04"
"27","22985","545","16.04"
"27","23001","545","17.04"
"27","23015","545","18.04"
"27","23031","545","19.04"
"27","23045","544","21.04"
"27","23061","542","22.04"
"27","23077","542","23.04"
"27","23092","542","22.04"
"28","23145","555","16.04"
"28","23159","555","16.04"
"28","23173","557","16.04"
"28","23190","558","15.04"
"28","23203","558","14.04"
"28","23219","558","14.04"
"28","23233","557","15.04"
"28","23249","553","19.04"
"28","23263","550","23.04"
"28","23279","547","27.04"
"28","23302","544","31.04"
"28","23324","543","34.04"
"29","24032","569","13.04"
"29","24033","569","13.04"
"29","24060","573","13.04"
"29","24065","576","13.04"
"29","24081","580","13.04"
"29","24096","582","13.04"
"30","24143","569","13.04"
"31","24177","569","13.04"
"31","24178","574","9.04"
"31","24185","574","9.04"
"31","24201","574","10.04"
"31","24223","573","16.04"
"31","24262","573","23.04"
"31","24263","573","24.04"
"32","24374","586","15.04"
"32","24375","584","15.04"
"32","24389","580","23.04"
"32","24403","580","26.04"
"32","24419","585","27.04"
"32","24441","593","25.04"
"32","24455","597","21.04"
"32","24471","597","19.04"
"32","24485","597","18.04"
"32","24502","595","18.04"
"33","24615","611","4.0399999999999991"
"33","24629","610","4.0399999999999991"
"33","24643","609","5.0399999999999991"
"33","24659","609","7.0399999999999991"
"33","24673","609","12.04"
"33","24689","610","16.04"
"33","24703","611","19.04"
"33","24719","612","21.04"
"33","24733","612","21.04"
"33","24749","612","21.04"
"33","24763","612","19.04"
"33","24779","612","14.04"
"33","24809","615","11.04"
"33","24831","618","11.04"
"33","24845","621","13.04"
"33","24861","624","14.04"
"33","24875","627","14.04"
"33","24892","629","14.04"
"33","24905","631","13.04"
"33","24921","632","12.04"
"33","24935","632","11.04"
"33","24951","630","11.04"
"33","24973","624","10.04"
"33","25004","619","17.04"
"33","25019","618","21.04"
"33","25033","618","23.04"
"33","25050","619","23.04"
"33","25063","622","23.04"
"33","25072","624","22.04"
"34","25160","639","14.04"
"34","25171","639","13.04"
"34","25191","633","12.04"
