"strokeNumber","time","x","y"
"0","2729","4","11.04"
"0","2730","4","11.04"
"0","2744","5","11.04"
"0","2758","11","11.04"
"0","2774","21","12.04"
"0","2788","30","13.04"
"0","2805","32","13.04"
"0","2827","31","13.04"
"0","2835","28","14.04"
"1","2888","18","15.04"
"1","2901","18","15.04"
"1","2917","18","15.04"
"1","2931","18","16.04"
"1","2947","18","19.04"
"1","2961","18","23.04"
"1","2977","18","26.04"
"1","2999","17","31.04"
"1","3015","16","33.04"
"1","3029","16","34.04"
"1","3045","16","35.04"
"2","3293","44","15.04"
"2","3307","44","15.04"
"2","3321","44","15.04"
"2","3336","44","15.04"
"2","3351","44","16.04"
"2","3366","44","20.04"
"2","3388","44","27.04"
"2","3404","44","31.04"
"2","3418","44","32.04"
"2","3435","44","32.04"
"2","3449","44","31.04"
"2","3465","47","27.04"
"2","3479","50","24.04"
"2","3495","52","22.04"
"2","3509","53","22.04"
"2","3525","53","23.04"
"2","3539","54","25.04"
"2","3554","56","27.04"
"2","3577","58","29.04"
"2","3590","58","29.04"
"2","3606","58","29.04"
"2","3621","60","29.04"
"2","3637","64","29.04"
"2","3651","68","28.04"
"2","3667","71","27.04"
"2","3681","73","26.04"
"2","3697","73","25.04"
"2","3711","72","24.04"
"2","3727","69","24.04"
"2","3749","66","24.04"
"2","3765","65","24.04"
"2","3779","65","26.04"
"2","3795","65","28.04"
"2","3809","65","29.04"
"2","3824","65","30.04"
"2","3841","66","31.04"
"2","3855","67","31.04"
"2","3869","69","31.04"
"2","3885","74","30.04"
"3","5244","97","13.04"
"3","5244","97","13.04"
"3","5249","97","13.04"
"3","5292","97","15.04"
"3","5295","98","18.04"
"3","5308","98","22.04"
"3","5325","98","27.04"
"3","5338","98","30.04"
"3","5355","98","30.04"
"3","5369","99","30.04"
"3","5385","100","27.04"
"3","5399","103","23.04"
"3","5415","105","20.04"
"3","5429","106","19.04"
"3","5451","106","19.04"
"3","5467","106","20.04"
"3","5481","108","21.04"
"3","5497","109","23.04"
"3","5511","112","25.04"
"3","5527","115","27.04"
"3","5541","119","27.04"
"3","5557","122","26.04"
"3","5571","125","24.04"
"3","5587","129","22.04"
"3","5601","131","21.04"
"3","5617","131","20.04"
"3","5639","131","19.04"
"3","5655","128","18.04"
"3","5669","124","18.04"
"3","5685","121","18.04"
"3","5699","119","19.04"
"3","5715","118","22.04"
"3","5729","118","24.04"
"3","5745","118","26.04"
"3","5759","120","28.04"
"3","5775","123","29.04"
"3","5789","126","29.04"
"3","5805","128","29.04"
"3","5827","132","28.04"
"4","6509","113","17.04"
"4","6510","114","17.04"
"4","6525","114","17.04"
"4","6539","115","17.04"
"4","6555","115","17.04"
"4","6585","114","18.04"
"4","6590","111","19.04"
"4","6607","107","19.04"
"4","6621","104","19.04"
"4","6636","103","19.04"
"4","6650","103","18.04"
"4","6667","108","17.04"
"4","6681","115","16.04"
"4","6697","122","16.04"
"4","6705","123","16.04"
"4","6711","124","16.04"
"4","6727","124","19.04"
"4","6749","115","24.04"
"4","6779","104","25.04"
"4","6795","103","23.04"
"4","6809","103","19.04"
"4","6823","108","16.04"
"4","6839","115","14.04"
"4","6853","122","14.04"
"4","6869","126","15.04"
"4","6885","127","19.04"
"4","6899","127","22.04"
"4","6915","126","24.04"
"4","6929","124","25.04"
"4","6945","120","26.04"
"4","6959","118","26.04"
"5","7092","142","14.04"
"5","7093","142","14.04"
"5","7109","154","11.04"
"5","7138","158","14.04"
"5","7152","158","17.04"
"5","7169","154","19.04"
"5","7183","149","21.04"
"5","7199","144","21.04"
"5","7212","138","20.04"
"5","7229","135","18.04"
"5","7243","135","17.04"
"5","7251","135","17.04"
"5","7259","135","17.04"
"5","7273","135","17.04"
"5","7289","135","18.04"
"5","7305","137","20.04"
"5","7327","138","25.04"
"5","7341","138","27.04"
"5","7357","139","29.04"
"5","7371","140","30.04"
"6","7491","162","16.04"
"6","7498","162","16.04"
"6","7513","162","16.04"
"6","7529","161","16.04"
"6","7543","160","18.04"
"6","7559","159","22.04"
"6","7574","159","26.04"
"6","7589","162","27.04"
"6","7602","167","26.04"
"6","7618","172","23.04"
"6","7633","176","20.04"
"6","7649","177","19.04"
"6","7671","177","21.04"
"6","7695","177","25.04"
"6","7717","177","27.04"
"6","7731","178","27.04"
"7","7829","186","15.04"
"7","7836","186","15.04"
"7","7851","186","15.04"
"7","7867","186","17.04"
"7","7889","187","22.04"
"7","7904","188","24.04"
"7","7919","189","25.04"
"7","7933","190","25.04"
"7","7949","191","25.04"
"7","7963","193","24.04"
"7","7979","195","21.04"
"7","7993","198","17.04"
"7","8009","199","16.04"
"7","8023","200","16.04"
"7","8039","203","17.04"
"7","8061","208","20.04"
"7","8077","209","20.04"
"7","8091","209","21.04"
"7","8107","209","22.04"
"7","8121","208","23.04"
"7","8136","206","24.04"
"7","8153","204","24.04"
"7","8167","203","24.04"
"7","8181","201","21.04"
"7","8197","200","19.04"
"7","8211","199","18.04"
"7","8226","199","18.04"
"7","8249","199","19.04"
"7","8263","199","20.04"
"7","8279","199","22.04"
"7","8295","199","25.04"
"7","8310","199","27.04"
"7","8322","199","28.04"
"7","8338","199","28.04"
"7","8352","199","28.04"
"7","8369","198","26.04"
"7","8383","197","24.04"
"7","8399","196","24.04"
"7","8415","196","24.04"
"7","8429","196","24.04"
"7","8451","197","25.04"
"7","8467","198","26.04"
"7","8481","199","27.04"
"7","8497","199","28.04"
"7","8511","199","30.04"
"7","8527","199","31.04"
"7","8541","199","31.04"
"8","9664","220","12.04"
"8","9667","220","12.04"
"8","9681","222","12.04"
"8","9697","227","13.04"
"8","9710","233","14.04"
"8","9726","236","16.04"
"8","9757","237","18.04"
"8","9762","233","21.04"
"8","9779","225","24.04"
"8","9801","218","24.04"
"8","9801","216","24.04"
"8","9809","214","23.04"
