"strokeNumber","time","x","y"
"0","20388","14","9.04"
"0","20389","13","9.04"
"0","20402","13","10.04"
"0","20418","15","10.04"
"0","20440","18","10.04"
"0","20454","20","10.04"
"0","20470","24","10.04"
"0","20484","27","10.04"
"0","20500","28","11.04"
"0","20514","28","11.04"
"0","20530","28","11.04"
"0","20539","28","11.04"
"1","20613","21","12.04"
"1","20628","21","12.04"
"1","20642","21","12.04"
"1","20658","21","13.04"
"1","20673","20","15.04"
"1","20688","19","18.04"
"1","20702","19","21.04"
"1","20718","20","24.04"
"1","20732","20","27.04"
"1","20749","20","29.04"
"1","20762","20","31.04"
"1","20778","19","32.04"
"1","20792","17","32.04"
"1","20808","16","33.04"
"1","20830","14","33.04"
"1","20848","12","33.04"
"1","20860","12","33.04"
"1","20874","12","33.04"
"1","20890","12","33.04"
"1","20904","12","33.04"
"1","20920","12","33.04"
"1","20934","12","33.04"
"1","20950","15","33.04"
"1","20966","18","33.04"
"1","20980","23","33.04"
"1","20997","27","33.04"
"2","21215","43","26.04"
"2","21216","42","26.04"
"2","21221","59","25.04"
"3","21289","48","21.04"
"3","21310","48","21.04"
"3","21324","48","23.04"
"3","21340","48","27.04"
"3","21354","48","32.04"
"3","21378","48","37.04"
"3","21393","48","39.04"
"3","21409","48","39.04"
"4","21673","74","19.04"
"4","21674","74","19.04"
"4","21684","74","23.04"
"4","21700","75","27.04"
"4","21714","75","30.04"
"4","21730","75","32.04"
"4","21746","75","32.04"
"4","21781","75","32.04"
"4","21783","75","30.04"
"4","21798","77","28.04"
"4","21812","80","25.04"
"4","21828","82","24.04"
"4","21842","84","24.04"
"4","21858","85","24.04"
"4","21872","86","26.04"
"4","21888","87","29.04"
"4","21902","87","31.04"
"4","21918","88","32.04"
"4","21940","88","32.04"
"4","21954","88","31.04"
"4","21970","88","30.04"
"4","21984","89","29.04"
"4","22000","89","29.04"
"4","22014","90","29.04"
"4","22030","90","30.04"
"4","22038","91","30.04"
"4","22046","91","30.04"
"4","22060","92","30.04"
"4","22075","92","30.04"
"5","22231","109","20.04"
"5","22232","108","19.04"
"5","22248","106","18.04"
"5","22262","104","18.04"
"5","22278","103","19.04"
"5","22309","101","25.04"
"5","22330","101","28.04"
"5","22346","101","28.04"
"5","22360","103","27.04"
"5","22374","107","24.04"
"5","22390","110","23.04"
"5","22404","110","22.04"
"5","22420","111","23.04"
"5","22434","111","24.04"
"5","22450","112","25.04"
"5","22472","113","25.04"
"5","22489","115","25.04"
"6","22623","122","6.0399999999999991"
"6","22630","122","6.0399999999999991"
"6","22638","122","7.0399999999999991"
"6","22652","123","11.04"
"6","22668","124","16.04"
"6","22690","124","24.04"
"6","22704","124","27.04"
"6","22720","124","28.04"
"6","22735","123","28.04"
"7","22839","134","16.04"
"7","22862","131","16.04"
"7","22878","129","19.04"
"7","22892","128","21.04"
"7","22908","128","22.04"
"7","22922","128","23.04"
"7","22938","128","23.04"
"7","22952","128","23.04"
"7","22968","129","23.04"
"7","22982","130","23.04"
"7","22998","132","23.04"
"7","23012","134","23.04"
"7","23028","136","22.04"
"7","23050","140","22.04"
"7","23080","144","21.04"
"7","23096","147","20.04"
"7","23110","149","19.04"
"7","23124","150","17.04"
"7","23145","150","15.04"
"7","23154","150","15.04"
"7","23170","147","15.04"
"7","23184","144","16.04"
"7","23200","142","17.04"
"7","23215","141","19.04"
"7","23231","141","22.04"
"7","23246","141","24.04"
"7","23268","142","26.04"
"7","23282","142","27.04"
"7","23298","143","27.04"
"7","23305","145","26.04"
"8","23465","170","17.04"
"8","23466","170","16.04"
"8","23470","170","15.04"
"8","23484","170","15.04"
"8","23500","169","15.04"
"8","23514","168","16.04"
"8","23530","168","17.04"
"8","23546","168","19.04"
"8","23560","169","22.04"
"8","23574","170","24.04"
"8","23590","171","26.04"
"8","23612","171","28.04"
"8","23620","171","28.04"
"8","23642","169","30.04"
"8","23658","168","31.04"
"8","23672","165","31.04"
"8","23688","161","30.04"
"8","23696","159","29.04"
"9","33391","212","21.04"
"9","33402","209","21.04"
"9","33406","206","21.04"
"9","33422","206","21.04"
"9","33436","206","21.04"
"9","33452","205","21.04"
"9","33466","204","22.04"
"9","33482","202","22.04"
"9","33496","201","23.04"
"9","33512","200","24.04"
"9","33544","199","25.04"
"9","33550","198","26.04"
"9","33564","198","28.04"
"9","33572","198","29.04"
"9","33580","198","29.04"
"9","33594","198","31.04"
"9","33610","199","32.04"
"9","33624","200","33.04"
"9","33642","202","33.04"
"9","33654","203","33.04"
"9","33670","205","33.04"
"9","33684","208","32.04"
"9","33706","211","29.04"
"9","33737","211","28.04"
"9","33752","211","27.04"
