"strokeNumber","time","x","y"
"0","10593","14","14.04"
"0","10595","13","14.04"
"0","10610","13","14.04"
"0","10632","13","15.04"
"0","10648","13","16.04"
"0","10662","14","18.04"
"0","10676","16","21.04"
"0","10692","18","23.04"
"0","10707","19","25.04"
"0","10722","20","26.04"
"0","10738","20","27.04"
"0","10752","21","27.04"
"0","10768","21","27.04"
"0","10782","21","27.04"
"0","10798","21","27.04"
"0","10812","21","26.04"
"0","10828","21","25.04"
"0","10850","23","23.04"
"0","10864","23","21.04"
"0","10880","24","21.04"
"0","10894","24","21.04"
"0","10910","24","21.04"
"0","10924","24","21.04"
"0","10940","24","21.04"
"0","10954","25","24.04"
"0","10970","26","27.04"
"0","10984","27","30.04"
"0","11000","29","31.04"
"0","11022","30","31.04"
"0","11036","30","30.04"
"0","11052","32","27.04"
"0","11066","33","24.04"
"0","11082","34","22.04"
"0","11096","34","21.04"
"0","11112","34","21.04"
"0","11126","34","21.04"
"0","11142","34","21.04"
"0","11150","35","21.04"
"1","11359","44","23.04"
"1","11375","44","23.04"
"1","11382","57","20.04"
"1","11396","56","19.04"
"1","11412","53","19.04"
"1","11426","50","19.04"
"1","11442","47","19.04"
"1","11456","44","19.04"
"1","11472","43","20.04"
"1","11486","42","21.04"
"1","11502","42","22.04"
"1","11516","42","24.04"
"1","11532","42","25.04"
"1","11548","42","26.04"
"1","11562","44","27.04"
"1","11584","49","28.04"
"1","11600","51","29.04"
"1","11614","53","29.04"
"1","11630","55","29.04"
"1","11644","57","29.04"
"1","11660","58","29.04"
"1","11675","61","28.04"
"2","29021","95","19.04"
"2","29031","94","19.04"
"2","29036","94","19.04"
"2","29050","94","19.04"
"2","29066","94","18.04"
"2","29080","93","18.04"
"2","29096","91","17.04"
"2","29112","88","17.04"
"2","29126","85","17.04"
"2","29148","82","18.04"
"2","29187","78","20.04"
"2","29194","76","21.04"
"2","29208","76","23.04"
"2","29224","76","24.04"
"2","29230","76","25.04"
"2","29238","76","26.04"
"2","29254","76","27.04"
"2","29268","77","28.04"
"2","29284","78","29.04"
"2","29298","78","30.04"
"2","29314","78","32.04"
"2","29328","78","32.04"
"2","29344","78","33.04"
"2","29366","78","33.04"
"2","29380","75","33.04"
"2","29396","72","34.04"
"2","29410","69","35.04"
"2","29418","69","35.04"
"3","29704","106","20.04"
"3","29705","101","21.04"
"3","29726","96","31.04"
"3","29766","101","29.04"
"3","29770","102","27.04"
"3","29786","102","26.04"
"3","29800","102","26.04"
"3","29809","103","26.04"
"4","30057","106","20.04"
"5","30084","106","20.04"
"5","30085","110","20.04"
"5","30094","110","21.04"
"5","30116","110","24.04"
"5","30132","110","27.04"
"5","30146","111","28.04"
"5","30160","111","29.04"
"5","30176","111","29.04"
"5","30190","111","29.04"
"5","30206","112","28.04"
"5","30220","113","25.04"
"5","30236","115","22.04"
"5","30250","117","21.04"
"5","30265","117","21.04"
"5","30288","117","24.04"
"5","30304","117","27.04"
"5","30318","118","29.04"
"5","30334","118","29.04"
"5","30348","119","29.04"
"5","30364","119","29.04"
"5","30378","120","27.04"
"5","30394","121","25.04"
"5","30408","121","25.04"
"5","30424","122","26.04"
"5","30438","122","26.04"
"5","30454","123","27.04"
"5","30485","124","27.04"
"5","30486","124","27.04"
"6","30551","135","23.04"
"6","30566","135","23.04"
"6","30580","135","23.04"
"6","30596","137","23.04"
"6","30610","141","21.04"
"6","30626","145","18.04"
"6","30640","147","15.04"
"6","30656","147","14.04"
"6","30678","140","14.04"
"6","30694","136","14.04"
"6","30708","134","15.04"
"6","30724","132","17.04"
"6","30738","131","20.04"
"6","30746","131","21.04"
"6","30754","131","23.04"
"6","30768","131","25.04"
"6","30784","131","27.04"
"6","30798","132","28.04"
"6","30814","134","29.04"
"6","30828","136","30.04"
"6","30844","138","30.04"
"6","30866","142","29.04"
"6","30875","144","28.04"
"7","30987","159","16.04"
"7","30988","157","16.04"
"7","31000","158","17.04"
"7","31016","163","17.04"
"7","31038","167","16.04"
"7","31053","168","16.04"
"7","31068","168","16.04"
"8","31145","163","8.04"
"8","31161","163","8.04"
"8","31174","163","8.04"
"8","31188","163","9.04"
"8","31204","163","13.04"
"8","31218","163","19.04"
"8","31234","163","24.04"
"8","31256","163","29.04"
"8","31270","163","31.04"
"8","31286","163","31.04"
"8","31300","163","31.04"
"8","31309","163","31.04"
"9","31470","176","5.0399999999999991"
"9","31500","174","5.0399999999999991"
"9","31504","173","8.04"
"9","31518","173","11.04"
"10","31587","179","14.04"
"10","31616","178","16.04"
"10","31630","178","19.04"
"10","31646","178","23.04"
"10","31660","178","25.04"
"10","31676","178","27.04"
"10","31685","178","28.04"
"11","31985","188","12.04"
"11","31987","188","12.04"
"11","32006","188","19.04"
"11","32020","191","16.04"
"11","32036","192","15.04"
"11","32050","192","16.04"
"11","32066","192","18.04"
"11","32079","192","19.04"
"11","32096","193","20.04"
"11","32110","193","21.04"
"11","32126","194","21.04"
"11","32134","195","22.04"
"12","32226","211","18.04"
"12","32238","210","18.04"
"12","32254","209","17.04"
"12","32268","209","16.04"
"12","32284","210","15.04"
"12","32298","210","14.04"
"12","32313","209","13.04"
"12","32328","209","13.04"
"12","32344","209","13.04"
"12","32366","209","13.04"
"12","32380","209","13.04"
"12","32396","209","13.04"
"12","32410","208","13.04"
"12","32426","208","13.04"
"12","32440","208","14.04"
"12","32456","208","14.04"
"12","32469","208","14.04"
"12","32486","208","14.04"
"12","32500","207","14.04"
"12","32516","207","15.04"
"12","32538","205","17.04"
"12","32554","205","18.04"
"12","32568","205","19.04"
"12","32584","205","20.04"
"12","32598","206","21.04"
"12","32614","209","22.04"
"12","32628","211","23.04"
"12","32644","213","23.04"
"12","32658","215","23.04"
"12","32674","217","23.04"
"12","32689","219","22.04"
"12","32704","220","21.04"
"12","32734","221","21.04"
"12","32740","221","21.04"
"12","32756","221","21.04"
"12","32770","220","20.04"
"12","32786","219","19.04"
"13","32953","235","15.04"
"13","32954","235","15.04"
"13","32958","236","10.04"
"13","32974","232","10.04"
"13","32988","228","10.04"
"13","33004","226","10.04"
"13","33018","225","10.04"
"13","33034","225","12.04"
"13","33048","225","15.04"
"13","33064","227","17.04"
"13","33078","229","19.04"
"13","33094","230","21.04"
"13","33116","232","23.04"
"13","33130","232","24.04"
"13","33146","232","26.04"
"13","33160","230","26.04"
"13","33176","227","26.04"
"13","33190","222","26.04"
"13","33198","219","24.04"
"14","33690","256","17.04"
"14","33703","256","17.04"
"14","33708","265","16.04"
"14","33724","267","15.04"
"14","33738","269","13.04"
"14","33754","269","12.04"
"14","33768","268","11.04"
"14","33784","264","10.04"
"14","33798","261","10.04"
"14","33813","258","10.04"
"14","33828","255","12.04"
"14","33844","252","15.04"
"14","33866","251","19.04"
"14","33880","251","21.04"
"14","33896","251","22.04"
"14","33910","253","24.04"
"14","33926","254","24.04"
"14","33940","257","25.04"
"14","33956","262","25.04"
"15","34068","283","16.04"
"15","34069","282","15.04"
"15","34084","281","14.04"
"15","34098","280","13.04"
"15","34114","278","13.04"
"15","34128","276","13.04"
